STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
72,"2021-04-06,04:15",18.60,95.10,-,0.00,178.058,0,22.68,884.6
72,"2021-04-06,04:30",18.60,94.60,-,0.00,177.015,0,22.62,884.4
72,"2021-04-06,04:45",18.60,94.60,0.001000,0.00,177.015,0,22.68,884.4
72,"2021-04-06,05:15",18.70,97.40,-,0.00,178.919,0,22.56,884.4
72,"2021-04-06,05:30",18.80,95.40,-,0.00,178.907,0,22.56,884.5
72,"2021-04-06,06:15",18.40,96.60,-,-,-,0,22.43,884.2
72,"2021-04-06,06:30",18.30,97.20,-,-,-,0,22.37,884.2
72,"2021-04-06,07:30",19.20,91.60,-,0.00,177.872,0,22.25,884.5
72,"2021-04-06,07:45",19.30,91.30,-,0.00,176.825,0,22.25,884.6
72,"2021-04-06,09:15",23.30,79.00,0.004248,0.00,111.408,0,22.81,885.8
72,"2021-04-06,11:30",25.30,70.70,0.009248,5.00,221.727,0,24.93,885.9
72,"2021-04-06,11:45",26.50,71.10,0.023248,5.00,20.288,0,25.06,886.0
72,"2021-04-06,12:15",25.50,72.00,-,-,-,0,26.31,885.5
72,"2021-04-06,12:30",25.50,73.20,-,-,-,0,26.37,885.5
72,"2021-04-06,13:30",25.70,74.00,0.002248,2.50,335.396,0,26.81,884.3
72,"2021-04-06,14:15",27.10,69.20,0.015248,2.50,174.245,0,27.25,8.0
72,"2021-04-06,14:30",26.90,68.50,0.014248,2.50,57.698,0,27.37,883.0
